"","colnames.nrsa_strmcat1."
"1","SITE_ID"
"2","VISIT_NO"
"3","PUBLICATION_DATE"
"4","UID"
"5","DATE_COL"
"6","SITESAMP"
"7","AG_ECO3"
"8","AG_ECO3_NM"
"9","AG_ECO9"
"10","AG_ECO9_NM"
"11","BOAT_WADE"
"12","BORD_RIV"
"13","CH0813_WGT"
"14","CHNG_SF"
"15","CNTYNAME"
"16","COMID"
"17","DESC_CODE"
"18","ELEVATION"
"19","EPA_REG"
"20","EVALSTAT"
"21","EVALUATED"
"22","FEOW_ID"
"23","FRAME14"
"24","FRAME18_ID"
"25","FS_EW"
"26","GNIS_ID"
"27","GNIS_NAME"
"28","HUC2"
"29","HUC2_REG"
"30","HUC8"
"31","HUC8_NM"
"32","LAT_DD83"
"33","LON_DD83"
"34","MAJ_BAS_NM"
"35","MAJ_BASIN"
"36","MISS_BASIN"
"37","MISS_BASIN_NM"
"38","NA_L1CODE"
"39","NA_L1NAME"
"40","NA_L2CODE"
"41","NA_L2NAME"
"42","NA_L3CODE"
"43","NA_L3NAME"
"44","NARS_NAME"
"45","NARS_OWN"
"46","NFWAWGTCAT"
"47","NRS13_EVAL"
"48","NRS13_MDC"
"49","NRS13_PNL"
"50","NRS13_SF"
"51","NRS13_STRA"
"52","NRS13_TNT"
"53","NRS13_URBN"
"54","NRS13_VST"
"55","NRS13_WGTD"
"56","NRSA_USE"
"57","OWN_CODE"
"58","OWN_DESC"
"59","OWN_TYPE"
"60","OWNSHP"
"61","PSTL_CODE"
"62","REACHCODE"
"63","RT_NRSA"
"64","SITETYPE"
"65","SO"
"66","SORT13_ID"
"67","SORT18_ID"
"68","SOURCE"
"69","STATE"
"70","STATECTY"
"71","STATEID"
"72","STRAH_CAL"
"73","STRAH_CAT"
"74","STRAH_ORD"
"75","STUDY"
"76","US_L3CODE"
"77","US_L3NAME"
"78","US_L4CODE"
"79","US_L4NAME"
"80","WGT_EXT_SP"
"81","XCOORD"
"82","YCOORD"
"83","MMI_BENT"
"84","OE_SCORE_OLD"
"85","OE_SCORE"
"86","AMMONIA_N_RESULT"
"87","AMMONIA_N_RESULT_UNITS"
"88","ANC_RESULT"
"89","ANC_RESULT_UNITS"
"90","CALCIUM_RESULT"
"91","CALCIUM_RESULT_UNITS"
"92","CHLORIDE_RESULT"
"93","CHLORIDE_RESULT_UNITS"
"94","COLOR_RESULT"
"95","COLOR_RESULT_UNITS"
"96","COND_RESULT"
"97","COND_RESULT_UNITS"
"98","DOC_RESULT"
"99","DOC_RESULT_UNITS"
"100","MAGNESIUM_RESULT"
"101","MAGNESIUM_RESULT_UNITS"
"102","NITRATE_N_RESULT"
"103","NITRATE_N_RESULT_UNITS"
"104","NITRATE_NITRITE_N_RESULT"
"105","NITRATE_NITRITE_N_RESULT_UNITS"
"106","NITRITE_N_RESULT"
"107","NITRITE_N_RESULT_UNITS"
"108","NTL_RESULT"
"109","NTL_RESULT_UNITS"
"110","PH_RESULT"
"111","PH_RESULT_UNITS"
"112","POTASSIUM_RESULT"
"113","POTASSIUM_RESULT_UNITS"
"114","PTL_RESULT"
"115","PTL_RESULT_UNITS"
"116","SILICA_RESULT"
"117","SILICA_RESULT_UNITS"
"118","SODIUM_RESULT"
"119","SODIUM_RESULT_UNITS"
"120","SULFATE_RESULT"
"121","SULFATE_RESULT_UNITS"
"122","TSS_RESULT"
"123","TSS_RESULT_UNITS"
"124","TURB_RESULT"
"125","TURB_RESULT_UNITS"
"126","YEAR"
"127","AWCH_WS"
"128","BDH_WS"
"129","BEDROCK_PERM_WS"
"130","BFI_WS"
"131","CAT_COMID"
"132","CROP_1KM_BUF"
"133","DAM_KM3WTD_200KM"
"134","ELEV_PT"
"135","ELEV_WS"
"136","ELEV_WS_MAX"
"137","ELEV_WS_MIN"
"138","ET_WS"
"139","FSTFRZ_WS"
"140","GEOL_HUNT_DOM_DESC"
"141","GEOL_HUNT_DOM_PCT"
"142","GEOL_HUNT_DOM_WS"
"143","GEOL_HUNT_PT"
"144","GEOL_REEDBUSH_DOM_PCT"
"145","GEOL_REEDBUSH_DOM_WS"
"146","GEOL_REEDBUSH_PT"
"147","KFACT_PT"
"148","KFACT_WS"
"149","LSTFRZ_PT"
"150","LSTFRZ_WS"
"151","MAFLOWU"
"152","MAST_2013"
"153","MAST_2014"
"154","MAVELU"
"155","MSST_2013"
"156","MSST_2014"
"157","MWST_2013"
"158","MWST_2014"
"159","OMH_WS"
"160","PCTBL2011_WS"
"161","PCTCONIF2011_WS"
"162","PCTCROP2011_WS"
"163","PCTDECID2011_WS"
"164","PCTGRS2011_WS"
"165","PCTHAY2011_WS"
"166","PCTHBWET2011_WS"
