"SITE_ID","VISIT_NO","DATE_COL","YEAR","SITETYPE","STATE_NM","AG_ECO3","AG_ECO9","AG_ECO5","US_L3CODE","US_L4CODE","LAT_DD83","LON_DD83","PROTOCOL","REALM","STRAH_ORD","OE_SCORE","AMMONIA_N_RESULT","ANC_RESULT","CHLORIDE_RESULT","COLOR_RESULT","COND_RESULT","DOC_RESULT","MAGNESIUM_RESULT","SODIUM_RESULT","POTASSIUM_RESULT","NTL_RESULT","PTL_RESULT","SULFATE_RESULT","TSS_RESULT","TURB_RESULT","RT_WQI","CL_pt","SO4_pt","PTL_pt","NTL_pt","TURB_pt","ENTERO_PT","DO_PT","PH_PT","WQII","H2O_dD","H2O_d18O","d.excess","MAST_SY","MSST_SY","MWST_SY","LDCBF_G08","XDEPTH_CM","SDDEPTH_CM","XWXD","RP100","XBKF_W","XBKF_H","XINC_H","SINU","REACHLEN","LSUB_DMM","XEMBED","PCT_FN","PCT_SAFN","PCT_SFGF","LDMB_BW5","LRBS_BW5","LRBS_G08","PCT_FAST","PCT_SLOW","RpRat","PCT_BDRK","XFC_ALG","XFC_AQM","XFC_LWD","XFC_NAT","V1W_MSQ","XCDENBK","XCDENMID","XCL","XGB","XC","XCMGW","QR1","QRVeg1","RDIST1","W1_HALL","W1H_WALL","W1_HNOAG","W1_HAG","W1H_CROP","XSLOPE_use","XWIDTH_use","Lpt01_XCMGW","Lpt01_XFC_NAT","LRBS_use","RDIST_COND","LRBS_Cond_use","LOE_RBS_use","LXCMGW_Cond_use","LOE_XCMGW_use","LXFC_NAT_Cond_use","LOE_XFC_NAT_use","Qbkf_cl","LQbkf_cl","Qbkf_kmcl","LQbkf_kmcl","QLow_cl","LQLow_cl","QLow_kmcl","LQLow_kmcl","LOE_QLow_cl","LOE_Qbkf_cl","CatAreaSqKm","WsAreaSqKm","CatAreaSqKmRp100","WsAreaSqKmRp100","PSUMPY_SY_PT","PSUMPY_SY_WS","TMEAN_PWSY_PT","TMEAN_PWSY_WS","TMEAN_WSY_PT","TMEAN_WSY_WS","TMEAN_SSY_PT","TMEAN_SSY_WS","TMEAN_SY_PT","TMEAN_SY_WS","PMAXWs","PMINWs","Precip8110Ws","Tmax8110Ws","Tmean8110Ws","Tmin8110Ws","BFIWs","ElevWs","PermWs","RunoffWs","HydrlCondWs","WDMAX_PT","WDMIN_PT","WDSUM_PT","PCTOW_WS","PCTICE_WS","PCTURBOP_WS","PCTURBLO_WS","PCTURBMD_WS","PCTURBHI_WS","PCTDECID_WS","PCTCONIF_WS","PCTMXFST_WS","PCTSHRB_WS","PCTGRS_WS","PCTHAY_WS","PCTCROP_WS","PCTWDWET_WS","PCTHBWET_WS","PCTOW_WsRp100","PCTICE_WsRp100","PCTURBOP_WsRp100","PCTURBLO_WsRp100","PCTURBMD_WsRp100","PCTURBHI_WsRp100","PCTDECID_WsRp100","PCTCONIF_WsRp100","PCTMXFST_WsRp100","PCTSHRB_WsRp100","PCTGRS_WsRp100","PCTHAY_WsRp100","PCTCROP_WsRp100","PCTWDWET_WsRp100","PCTHBWET_WsRp100","PCTIMP_WS","PCTIMP_WsRp100","NABD_DensWs","NABD_NIDStorWs","NABD_NrmStorWs","AgKffactWs","FertWs","ManureWs","NPDESDensWs","NPDESDensWsRp100"
"NRS18_AL_10002","1","2018-07-08",2018,"PROB","Alabama","EHIGH","SAP","Appalachians",71,"71h",34.95092177,-87.042028,"BOATABLE","BOATABLE",7,0.283331133,0.022,1997.39,4.092,4,223.7,1.83,4.381,2.122,1.919,1.123,187.966,5.466,"24.6",17.24,"S",9.116547988,10,0,0,0,10,10,10,61.4,-28.28,-4.99,11.62,15.9086211841607,25.0674942643084,7.29869438201765,0.690382258,307.9,56.98298523,201.64,57.69412541,66.11363636,0.877272727,1.772727273,NA,2903.618946,-2.110924375,NA,100,100,NA,0.657920598,-2.768844973,-2.801306633,0,100,0.187379427,NA,0.063636364,0,0.152272727,0.777272727,0.018615909,65.24064171,NA,0.084090909,0.285227273,0.303409091,0.595454545,0.549637758,0.367954545,0.343289463,0.522740909,0,0.522740909,0,0,0.019870584,65.63636364,-0.217918456,-0.103874793,-2.801306633,"2 Medi","Poor",-3.242686633,"Poor",-0.244898456,"Good",0.769477728,170.3548952,2.231354618,0.035597143,-1.448584857,76.58756117,1.88415824,0.01600364,-1.795781235,0.533391346,0.183124452,0.3051,4785.6267,0.0107999999999999,967.8258,1793.53601074219,1725.5776745536,6.01186990737915,5.03360090197636,6.19268703460693,5.19569047721008,26.1329135894775,25.1875803795464,16.2325019836426,15.2197625658287,161.566727718232,87.4284492143944,1449.03407659079,20.9781888498597,14.7502527436883,-1.70289051958105,34.7460352057966,288.462035247547,5.07562803050118,665.636338162356,5.48599180513933,10,6,104,1.38376860861295,0,4.99941418330853,1.62582468039139,0.689082163470878,0.217777119974694,40.3752762412497,2.44141692037952,3.95239143914004,1.12087514055369,0.861836966932669,31.9524922409849,9.16877407090695,1.04064740360965,0.104469076119121,0.741331756190009,0,6.7607001177278,1.55724304931735,0.615978619292852,0.157156380828037,34.1828147172766,1.94269464608197,5.11492874027537,0.864825054260798,0.662381598010716,36.6091604501554,8.1921250704414,2.33363276738438,0.197886851125481,1.44332914642089,1.38480902245011,0.0045970990591472,184804.460406408,105072.547727135,0.139021612780621,14.2434255475882,4.66809074347567,0.0010447952407152,0.0030997313772788
"NRS18_AL_10002","2","2018-09-14",2018,"PROB","Alabama","EHIGH","SAP","Appalachians",71,"71h",34.95092177,-87.042028,"BOATABLE","BOATABLE",7,0.566662265,0.021,2151.44,5.382,16,241.5,1.87,4.672,2.509,2.507,1.224,221.726,5.333,"12.9",9.14,"S",8.023883123,10,0,0,0,10,10,10,60.03,-27.69,-4.91,11.58,15.9086211841607,25.0674942643084,7.29869438201765,0.636798013,294,62.71629241,191.288,62.62013551,63.90909091,0.577272727,0.668181818,NA,2903.350186,-1.780821375,NA,80,100,NA,0.591604298,-2.372425673,-2.417619388,2,98,0.212993658,NA,0.027272727,0,0.090909091,0.331818182,0.011126364,72.99465241,NA,0.330681818,0.101136364,0.65,0.939772727,0.639257151,0.522897727,0.3400033,0.515159091,0,0.272727273,0.242431818,0.121218182,0.019870584,62.41818182,-0.022380305,-0.46620484,-2.417619388,"2 Medi","Poor",-2.858999388,"Good",-0.049360305,"Good",0.407147682,106.3180975,2.026607196,0.022216095,-1.653332278,58.92805867,1.770322134,0.012313532,-1.909617341,0.41955524,-0.021622969,0.3051,4785.6267,0.0107999999999999,967.8258,1793.53601074219,1725.5776745536,6.01186990737915,5.03360090197636,6.19268703460693,5.19569047721008,26.1329135894775,25.1875803795464,16.2325019836426,15.2197625658287,161.566727718232,87.4284492143944,1449.03407659079,20.9781888498597,14.7502527436883,-1.70289051958105,34.7460352057966,288.462035247547,5.07562803050118,665.636338162356,5.48599180513933,10,6,104,1.38376860861295,0,4.99941418330853,1.62582468039139,0.689082163470878,0.217777119974694,40.3752762412497,2.44141692037952,3.95239143914004,1.12087514055369,0.861836966932669,31.9524922409849,9.16877407090695,1.04064740360965,0.104469076119121,0.741331756190009,0,6.7607001177278,1.55724304931735,0.615978619292852,0.157156380828037,34.1828147172766,1.94269464608197,5.11492874027537,0.864825054260798,0.662381598010716,36.6091604501554,8.1921250704414,2.33363276738438,0.197886851125481,1.44332914642089,1.38480902245011,0.0045970990591472,184804.460406408,105072.547727135,0.139021612780621,14.2434255475882,4.66809074347567,0.0010447952407152,0.0030997313772788
"NRS18_AL_10005","1","2018-08-07",2018,"PROB","Alabama","PLNLOW","CPL","Coastal Plains",65,"65b",32.12422056,-87.52831805,"WADEABLE","WADEABLE",1,0.330441228,0.018,314.55,0.559,24,53.1,4.39,1.703,1.735,1.735,0.35,77.468,6.89,"16.1",89.59,"R",10,7.341808007,8.632228571,10,0,10,7.15,10,78.91,-9.43,-2.36,9.43,18.0480410326482,22.4512376243582,8.33252574400798,1.327170654,20.70666667,24.27154731,0.480263158,19.93268456,3.872727273,0.731818182,1.3,1.370991538,150,-0.362099574,60.37037037,36.19047619,49.52380952,72.38095238,1.222416551,-1.584516125,-1.689270228,0,67.33333333,0.962621598,0,0,0,0.022727273,0.977272727,0.004338028,100,99.06417112,0.172727273,0.575,0.422727273,0.972727273,0.813181247,0.537727273,0,0,0,0,0,0,0.333333333,1.41,-0.007566991,-0.00556286,-1.689270228,"1 Low","Good",-0.299407687,"Good",-0.038415217,"Good",0.38661714,1.084793099,0.035346914,0.371212093,-0.430377884,0.003326614,-2.477997644,0.001138355,-2.943722442,-0.297721289,0.450575452,2.9223,2.9223,0.4509,0.4509,1849.38830566406,1838.27602357253,9.62293148040771,9.58839315672929,10.0821743011475,10.046125005482,26.9922504425049,27.0137345819526,18.4238452911377,18.4040068387743,164.936248845088,71.9393286110256,1364.62218294734,24.3893243350785,17.9149056438559,11.4348444960579,25.0655990144749,58.3627995072375,1.68438866646135,492,6.64887798740376,11,5,100,0,0,1.9402525408069,0.277178934400986,0.0615953187557745,0,8.90052356020942,37.0495842315984,16.107175854635,24.4533415460425,0.769941484447182,0.246381275023098,0,10.0092392978134,0.184785956267324,0,0,1.79640718562874,0,0,0,7.58483033932136,13.5728542914172,12.7744510978044,22.7544910179641,1.19760479041916,0,0,40.3193612774451,0,0.228210655990145,0.06187624750499,0,0,0,0.0001847859562673,0.0067754850631352,0,0,0
"NRS18_AL_10007","1","2018-07-09",2018,"PROB","Alabama","EHIGH","SAP","Appalachians",67,"67h",33.41281268,-86.75189942,"WADEABLE","WADEABLE",5,0.385778477,0.024,1675.08,6.871,4,226.7,2.3,6.906,6.666,2.786,1.444,27.466,14.618,"5.3",5.39,"T",6.76265988,9.451711781,8.902040816,0,6.681922197,10,10,10,77.25,-23.08,-3.89,8.08,17.0330604670841,25.2611725664907,8.40944720230133,0.705520065,102.04,33.21704564,20.7025,42.93036638,24.38636364,0.581818182,1.627272727,1.000031986,520,0.588924402,54.27272727,8.571428571,42.85714286,59.04761905,0.570025507,0.018898895,-0.116595663,8,92,0.420720956,4.761904762,0.018181818,0,0.215909091,0.754545455,0.002852319,88.23529412,55.7486631,0.027272727,0.559090909,0.495454545,1.267045455,0.652282503,0.670170455,0.536844055,1.1591,0,1.1591,0,0,0.046471424,19.80952381,0.106206356,-0.116596689,-0.116595663,"2 Medi","Medi",-0.702558185,"Good",0.077168977,"Good",0.661962209,7.17701238,0.855943695,0.013614397,-1.866001601,1.401086264,0.146464875,0.002657783,-2.575480421,-0.237111096,-0.593444309,1.3374,527.1615,0.1359,98.0847,1791.96484375,1786.27075440327,8.54137229919434,8.03250739050492,8.95163059234619,8.36445835470845,26.9678554534912,26.8137487315975,17.8680114746094,17.516346419769,162.145687042775,85.8555114514243,1426.09368230975,22.7426061808376,16.6343851066037,-0.104430476839202,37.4840226382238,226.386845382297,4.25544324651933,573.875003201106,0.105066411270221,10,5,99,1.55001835300947,0,13.2259468872442,9.57719787958718,6.27946084833585,1.36222011660563,40.2246749810068,9.68031618393983,8.22300186944608,1.36426882463913,2.07960937966828,5.46458722801267,0.0040974160669927,0.548712301638113,0.027486832782743,1.22404411697237,0,9.97953809309709,6.29272455337071,4.60989328610884,1.19926961085674,47.8184671003735,7.86911720176541,10.4401603919877,0.96253544130736,1.19284659075269,5.61463714524284,0,2.21135406439536,0.079828964150372,9.21372292931104,6.66806749676555,0.0550116046031434,86740.6612205178,75511.710472028,0.0219228319974049,1.28366240706121,3.09618513491596,0.007587807531468,0.0101952700064332
"NRS18_AL_10009","1","2018-07-13",2018,"PROB","Alabama","PLNLOW","CPL","Coastal Plains",65,"65g",31.11972121,-86.15248721,"WADEABLE","WADEABLE",4,0.465058618,0.012,488.39,3.699,33,69.9,6.22,1.656,1.921,1.14,0.567,24.805,0.567,"2",6.58,"S",10,10,10,10,10,10,10,10,100,-20.33,-3.98,11.53,17.9633147392287,25.2328330285075,9.77410912674124,2.640041979,70.93,23.45735654,6.989,14.74505051,12.01818182,1,1.536363636,1.000028558,400,-0.167991521,96.72727273,0,92.38095238,93.33333333,2.350637653,-2.518629173,-2.8080335,10,90,0.207881722,6.666666667,0,0,0.036363636,0.943181818,0.001637103,98.39572193,91.71122995,0.045454545,0.6125,0.310227273,1.054545455,0.803660427,0.574545455,0.083337153,0.090913636,0,0.090913636,0,0,2.1,9.428571429,0.02716421,-0.02082425,-2.8080335,"1 Low","Good",-0.406676324,"Good",0.0059468,"Good",0.37135575,72.94622522,1.863002823,0.556725893,-0.254358579,3.552440536,0.550526817,0.027112241,-1.566834585,1.170667236,1.1058997,6.4719,131.0265,0.7713,26.8848,1575.87536621094,1632.27328314312,11.8199281692505,11.9010307823346,12.1272020339966,12.1860596548845,27.2526874542236,27.6303648762158,19.6576385498047,19.8991621209852,177.723309406876,80.7338462066834,1514.00689679969,25.4677949164768,18.8640023570975,2.98727017653597,46.2221176632208,75.9486910052547,7.3312954631315,473.46653157949,10.9124023489766,13,5,105,0.642236494144314,0,4.38094583920047,2.07507641583954,0.660095476869183,0.0941031012810385,0.410069718721022,35.5867706151046,5.96627399800804,8.26527458185939,1.77216059346773,15.6547721262493,12.5074698629666,11.5492667513824,0.369543565614589,0.251071237279057,0,2.28307445099089,0.535618639528656,0.164033208355651,0,0.592528119978575,30.3160149973219,11.0638725227638,8.61341724692019,1.0645420460632,8.35899839314408,2.89903588644885,33.3723888591323,0.485404392072844,1.44720953394924,0.389126941617568,0.0228961316985495,2447.63311238566,1647.44536410573,0.0490826664834976,16.0341243946835,10.3318542432256,0,0
"NRS18_AL_10009","2","2018-08-10",2018,"PROB","Alabama","PLNLOW","CPL","Coastal Plains",65,"65g",31.11972121,-86.15248721,"WADEABLE","WADEABLE",4,0.387548848,0.012,665.65,4.112,36,84.7,5.07,1.879,2.006,1.017,0.516,15.449,0.492,"0.6",4.63,"S",10,10,10,10,10,10,10,10,100,-15.52,-3.31,10.95,17.9633147392287,25.2328330285075,9.77410912674124,2.552088558,65.33,23.40769752,5.591181818,15.13937068,10.65454545,0.918181818,1.572727273,1.110174639,400,-0.032721409,83.81818182,0,82.85714286,86.66666667,2.326313124,-2.359034533,-2.584809968,6,94,0.231736885,8.571428571,0.004545455,0,0.05,1.034090909,0.006696672,97.86096257,91.97860963,0.182954545,0.575,0.488636364,1.313636364,0.777998247,0.691136364,0.305272665,0.439413636,0,0.075759091,0.363654545,0,2.2,8.766666667,0.12176869,0.018738314,-2.584809968,"2 Medi","Good",-0.183227516,"Good",0.10055128,"Good",0.410918314,49.10437912,1.691120224,0.374764825,-0.426241178,2.522540873,0.401838212,0.019252042,-1.71552319,1.021978631,0.934017101,6.4719,131.0265,0.7713,26.8848,1575.87536621094,1632.27328314312,11.8199281692505,11.9010307823346,12.1272020339966,12.1860596548845,27.2526874542236,27.6303648762158,19.6576385498047,19.8991621209852,177.723309406876,80.7338462066834,1514.00689679969,25.4677949164768,18.8640023570975,2.98727017653597,46.2221176632208,75.9486910052547,7.3312954631315,473.46653157949,10.9124023489766,13,5,105,0.642236494144314,0,4.38094583920047,2.07507641583954,0.660095476869183,0.0941031012810385,0.410069718721022,35.5867706151046,5.96627399800804,8.26527458185939,1.77216059346773,15.6547721262493,12.5074698629666,11.5492667513824,0.369543565614589,0.251071237279057,0,2.28307445099089,0.535618639528656,0.164033208355651,0,0.592528119978575,30.3160149973219,11.0638725227638,8.61341724692019,1.0645420460632,8.35899839314408,2.89903588644885,33.3723888591323,0.485404392072844,1.44720953394924,0.389126941617568,0.0228961316985495,2447.63311238566,1647.44536410573,0.0490826664834976,16.0341243946835,10.3318542432256,0,0
"NRS18_AL_10010","1","2018-07-12",2018,"PROB","Alabama","PLNLOW","CPL","Coastal Plains",65,"65p",32.22869149,-87.14827743,"BOATABLE","BOATABLE",7,0.38034257,0.014,1039.11,5.653,13,141.4,2.9,3.511,8.406,1.707,0.439,32.68,8.941,"4.3",5.69,"S",10,5.503589324,10,10,10,NA,10,10,93.58,-23.92,-4.3,10.51,17.0591701814666,25.0232028417179,8.62667208091934,1.493388673,1143.3,191.7650867,2307.55,154.7342129,188.4090909,0.627272727,1.381818182,NA,4059.213315,-0.460409377,NA,0,100,NA,0.907350786,-1.367760163,-1.95379805,0,100,0.135339992,NA,0.127272727,0,0.013636364,0.581818182,0.005362727,61.76470588,NA,0.073809524,0.393181818,0.320238095,1.003409091,0.647370925,0.551534091,0.25,0.333333333,0,0.333333333,0,0,0.011229999,205.1818182,0.005784796,-0.227811696,-1.95379805,"2 Medi","Medi",-1.02974805,"Good",0.025236271,"Good",0.342668304,3068.672426,3.486950531,0.062063189,-1.207165913,3084.552474,3.489192163,0.062384359,-1.204924281,1.67532977,0.900866679,4.9428,49444.3035,0.684,10093.5666,1610.82739257812,1605.45660994368,9.49083042144775,8.02641027837625,9.93227767944336,8.36420992598761,26.8935279846191,26.0833906071664,18.342622756958,17.1158954040325,164.507037982646,80.5872755554136,1370.35421489811,22.8330065942353,16.4345159174192,-0.0586076314486407,44.8949068237962,221.269620754735,5.2880039641512,574.029322538642,16.6266176224116,10,5,96,2.02977113430266,0,6.09133749856543,3.06082034303507,1.37150501068338,0.476860190780117,28.0592462992223,19.8172252542702,10.8026549509389,4.09376441110147,3.78122001455638,13.5702344356009,1.57693797830523,4.69271834317577,0.309227937653121,0.831327550758916,0,4.601735128988,1.91594812481844,0.875027663660534,0.264875648613643,31.5905628442576,13.4207585255345,13.8712771757012,3.00258384385159,2.34957879011766,13.0967838464552,1.247419321531,12.1286136854737,0.597668816095195,2.67676147971222,1.68101146724489,0.0206090475114084,139494.272837792,116845.992850355,0.0449760425890112,4.45862849498932,9.69146180206583,0.0017797803542727,0.0036657012794664
"NRS18_AL_10010","2","2018-08-08",2018,"PROB","Alabama","PLNLOW","CPL","Coastal Plains",65,"65p",32.22869149,-87.14827743,"BOATABLE","BOATABLE",7,0.38034257,0.006,1006.28,5.712,5,137.2,2.66,3.815,7.018,1.83,1.08,40.216,7.514,"4.9",5.42,"S",10,6.782544985,10,2.150537634,10,10,10,10,86.17,-22.01,-3.85,8.76,17.0591701814666,25.0232028417179,8.62667208091934,1.49958656,1152.9,171.7426722,2394.66,180.3684282,208.5,0.686363636,1.463636364,NA,3946.542423,-0.460409377,NA,0,100,NA,0.901342776,-1.361752153,-1.959995937,0,100,0.156447592,NA,0.036363636,0,0.045454545,0.584545455,0.026880455,63.36898396,NA,0.161363636,0.527272727,0.393181818,0.963636364,0.644954357,0.533636364,0.250004261,0.333340909,0,0.272731818,0.060609091,0,0.011229999,206.2727273,-0.011603214,-0.225814937,-1.959995937,"2 Medi","Medi",-1.035945937,"Good",0.007848261,"Good",0.344665064,3461.614033,3.539278643,0.070010342,-1.154837801,3140.091137,3.496942253,0.063507616,-1.197174191,1.68307986,0.953194791,4.9428,49444.3035,0.684,10093.5666,1610.82739257812,1605.45660994368,9.49083042144775,8.02641027837625,9.93227767944336,8.36420992598761,26.8935279846191,26.0833906071664,18.342622756958,17.1158954040325,164.507037982646,80.5872755554136,1370.35421489811,22.8330065942353,16.4345159174192,-0.0586076314486407,44.8949068237962,221.269620754735,5.2880039641512,574.029322538642,16.6266176224116,10,5,96,2.02977113430266,0,6.09133749856543,3.06082034303507,1.37150501068338,0.476860190780117,28.0592462992223,19.8172252542702,10.8026549509389,4.09376441110147,3.78122001455638,13.5702344356009,1.57693797830523,4.69271834317577,0.309227937653121,0.831327550758916,0,4.601735128988,1.91594812481844,0.875027663660534,0.264875648613643,31.5905628442576,13.4207585255345,13.8712771757012,3.00258384385159,2.34957879011766,13.0967838464552,1.247419321531,12.1286136854737,0.597668816095195,2.67676147971222,1.68101146724489,0.0206090475114084,139494.272837792,116845.992850355,0.0449760425890112,4.45862849498932,9.69146180206583,0.0017797803542727,0.0036657012794664
"NRS18_AL_10014","1","2018-08-12",2018,"PROB","Alabama","PLNLOW","CPL","Coastal Plains",75,"75k",30.69484743,-87.92434568,"BOATABLE","BOATABLE",4,0.501309648,0.006,532.06,57.695,35,295.4,4.72,5.487,37.645,2.271,0.401,37.996,13.953,"9.4",10.22,"S",0,1.011560052,10,10,10,10,10,10,76.26,-16.04,-3.06,8.46,17.841606425607,25.26970205573,9.30220580609907,NA,269.625,130.7083307,1088.3125,NA,316.5454545,0.3,0.3,NA,3884.979627,-0.460409377,NA,0,90,NA,NA,NA,NA,0,100,NA,NA,0.279545455,0.279545455,0,0.284090909,0,1.470588235,NA,0.05,0.038636364,0.165909091,0.418181818,0.284022751,0.288181818,0.297880557,0.424259091,0,0.424259091,0,0,0.092840166,316.0909091,-0.368371778,-0.5315184,-1.914953665,"2 Medi","Medi",-0.990903665,"Poor",-0.322401371,"Good",0.0389616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018,112151.2338,NA,23826.1203,1926.75805664062,1626.98929602672,12.2092456817627,8.25609869392355,12.5806846618652,8.57408007694036,27.7827663421631,26.6622462605958,20.2692489624023,17.5214438801308,164.748813485635,81.0675216548532,1402.32106746011,23.2920232914766,16.8604113245593,0.199063142439844,39.8351808208105,154.020474669785,4.987021313262,577.892022927527,22.4291537252848,13,5,107,1.82195070956054,0,4.71032829600489,2.2897024071794,1.01425473573346,0.344458270239734,19.7297033213735,22.0258288411268,12.505662955979,4.93875886365862,3.35849582066747,13.0528023669411,2.28724358447495,10.9277520048112,0.730080153607726,0.734773424274199,0,3.30647663186692,1.38121312180229,0.621497743382082,0.17724161327264,21.3819557521499,14.5052025108763,14.0806226853476,3.32723326340294,1.93766460584857,12.0527885524023,2.1407207450388,22.9397532253709,1.24185472193725,1.99229319579719,1.19271317957712,0.0147925256262316,106760.442321693,89024.826827289,0.0459340596393866,4.24490063523492,7.47553642338975,0.0013285631816205,0.0023083909301003
"NRS18_AL_10016","1","2018-07-10",2018,"PROB","Alabama","EHIGH","SAP","Appalachians",68,"68f",33.58483101,-87.0957233,"BOATABLE","BOATABLE",5,0.37215851,0.015,1537.41,5.818,4,328.8,2.69,15.057,11.992,3.469,1.407,77.591,66.481,"3.9",4.71,"T",7.654579339,4.36317427,0,0,8.23798627,10,10,10,62.82,-23.97,-4.11,8.93,17.0911172801631,25.3871931907343,8.02040293614699,1.597811721,659.7,85.20272913,533.29,49.89352874,85.06363636,0.622727273,1.509090909,NA,2753.985632,-0.460409377,NA,0,100,NA,1.030571908,-1.490981285,-2.058221098,0,100,0.075630633,NA,0.045454545,0.004545455,0.004545455,0.543181818,0.001322273,49.73262032,NA,0.088095238,0.186363636,0.41547619,1.251136364,0.581282139,0.663011364,0.459019498,0.848495455,0,0.848495455,0,0,0.023314806,84.63636364,0.100762049,-0.257132103,-2.058221098,"2 Medi","Poor",-2.499601098,"Good",0.073782049,"Good",0.720671718,924.6218679,2.965964161,0.309957804,-0.508697425,803.5552628,2.90501575,0.269373063,-0.569645836,1.761497413,1.046053203,17.6805,2983.0527,1.0044,604.0863,1588.51049804688,1728.35775239878,8.07697677612305,7.32385420289836,8.42658424377441,7.55305316431584,27.0480709075928,26.4085407904226,17.6640281677246,16.9177103076158,163.732727651778,82.3602893103431,1407.99284618419,22.4854394124429,16.2291540000291,-0.386774329835507,37.0493754267231,222.445608982704,4.53375663973036,617.574328036511,0.166851129888829,10,6,102,1.0080244308121,0,8.22020677006477,5.63767780569214,2.59731247791901,1.06634388323076,29.9193574421263,12.7093564253826,10.994499024439,2.76493941927342,2.60376895118212,20.2607751448709,0.900346145410036,0.571488395092718,0.0829686984745526,0.821803109919891,0,6.12419119586059,3.33071615760861,1.56687877212246,0.501037682860876,37.3375128686083,9.26629191888642,15.5951889655501,2.47807308326641,2.07015123501394,17.5807165300719,0.526812145880481,2.17503691111684,0.236588712573021,5.03172029109643,2.9140071542758,0.0181022614853569,19184.1413328031,14887.9191440366,0.0616433172635535,5.5768919201461,28.7917434378548,0.0036874977099801,0.0033107852305208
