SITE_ID,CatAreaSqKm,WsAreaSqKm,CatAreaSqKmRp100,WsAreaSqKmRp100,HydrlCondWs,OMHWs,DamDensWs,DamNIDStorWs,DamNrmStorWs,NABD_DensWs,NABD_NIDStorWs,NABD_NrmStorWs,MineDensWs,MineDensWsRp100,AgKffactWs,FertWs,ManureWs,NPDESDensWs,NPDESDensWsRp100,SuperfundDensWs,HUDen2010Ws,HUDen2010WsRp100,PopDen2010Ws,PopDen2010WsRp100,PctOw2013Ws,PctIce2013Ws,PctUrbOp2013Ws,PctUrbLo2013Ws,PctUrbMd2013Ws,PctUrbHi2013Ws,PctDecid2013Ws,PctConif2013Ws,PctMxFst2013Ws,PctShrb2013Ws,PctGrs2013Ws,PctHay2013Ws,PctCrop2013Ws,PctWdWet2013Ws,PctHbWet2013Ws,PctOw2013_WsRp100,PctIce2013_WsRp100,PctUrbOp2013_WsRp100,PctUrbLo2013_WsRp100,PctUrbMd2013_WsRp100,PctUrbHi2013_WsRp100,PctDecid2013_WsRp100,PctConif2013_WsRp100,PctMxFst2013_WsRp100,PctShrb2013_WsRp100,PctGrs2013_WsRp100,PctHay2013_WsRp100,PctCrop2013_WsRp100,PctWdWet2013_WsRp100,PctHbWet2013_WsRp100,PctFrstLoss2013Ws,PctFrstLoss2013WsRp100,PctImp2013Ws,PctImp2013_RipBuf100WsRp100,PctNOT_PRINCIPLEWs,PctSANDSTONEWs,PctSEMICONSOL_SANDWs,PctVOLCANICWs,PctSANDSTONE_CARBONATEWs,PctUNCONSOL_SAND_GRAVELWs,PctCARBONATEWs,ClayWs,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs
ALR9-0901,0.3051,4785.6267,0.0108,967.8258,5.485991805,0.754988663,0.005641894,28192.86121,21241.17209,0.004597099,184804.4604,105072.5477,0.001462713,0,0.139021613,14.24342555,4.668090743,0.001044795,0.003099731,0.000208959,11.19999012,10.15262255,24.34776574,21.96341482,1.397459605,0,5.020063516,1.59898807,0.608459494,0.196394341,39.97171154,2.389267011,3.80109464,1.251372156,1.191492851,32.52382807,8.869020227,1.036510014,0.09057121,0.763649822,0,6.773904973,1.525532797,0.541678058,0.143393574,33.67312589,1.894617812,4.910439461,1.132641845,0.974834521,37.27498275,7.823133047,2.330006082,0.179102479,0.108155114,0.080252045,1.364066926,1.315412856,59.30082261,3.233557686,0,0,15.37730262,0,22.08831708,34.06984825,88.32176776,3.422185019,0,0,0,3.493122437,0,0,0,0,0,0,0,0,0,2.375218694,0,2.387706087
ALS9-0916,3.3768,3.3768,0.5832,0.5832,0.106882134,0.604456833,0,0,0,0,0,0,0,0,0.033366205,2.987206823,18.29664179,0,0,0,4.783582465,4.783582465,8.501662917,8.501662917,0.159914712,0,2.158848614,1.385927505,0.026652452,0,24.46695096,42.21748401,4.850746269,13.51279318,2.318763326,8.68869936,0,0.213219616,0,0,0,1.543209877,0.925925926,0,0,33.48765432,46.75925926,7.098765432,0.462962963,0,8.487654321,0,1.234567901,0,0,0,0.616471215,0.401234568,0,0,0,100,0,0,0,30.6449467,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALR9-0902,2.9646,922.6674,1.1061,211.4514,43.04358724,1.040019961,0.028179168,14250.96064,11107.99549,0.022760098,13431.46356,10507.74396,0.001083814,0,0.028155544,6.214844916,0,0.001083814,0,0,27.99522904,20.93288011,60.48488154,46.06893488,0.876328783,0,4.801470172,3.944454957,1.753925629,0.618521907,10.30027722,24.05241585,21.00467622,5.396679237,2.214329887,9.731014665,1.923455841,12.57888812,0.365299565,0.447336835,0,3.33480885,2.014931091,0.764430976,0.156631737,13.46139113,12.4483924,21.79777481,3.409294051,1.346266802,5.878797681,0.840618695,33.10122326,0.783584313,0.62486222,0.593327829,3.284941464,1.479301627,0,0,89.26682573,10.73317427,0,0,0,27.72830651,0,38.85587591,0,0,0,0,0,0,0,0,0,0,0,0,0,61.14412409,0,0
ALR9-0903,2.6055,1614.2913,0.288,353.6046,18.33455709,0.836068409,0.014247738,2170.808131,1835.368226,0.011769871,1772.712025,1518.266722,0.000619467,0,0.024324205,4.635223457,0,0.000619467,0,0,5.412042777,5.442035968,10.90729917,10.94506224,0.391657937,0,3.190855331,0.877425283,0.237503603,0.103754508,2.379997959,38.91858923,12.30653352,11.58064223,4.53916217,7.947450377,1.728424108,15.17625722,0.375935867,0.297281201,0,1.707839774,0.386618274,0.097736285,0.015016773,2.219937184,25.01819829,16.75337368,6.763910877,2.507292043,3.339577596,0.41512469,39.53254567,0.810396697,1.503185949,1.073062964,0.715397648,0.290762903,12.84905642,0,49.07694169,0,0,15.11855388,22.955448,26.54584338,34.52477257,48.95930493,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5159225,0,0
ALS9-0917,1.7154,169.8075,0.2061,26.4933,0.893155051,1.346137882,0.005889021,4721.593569,1583.549843,0.005889021,4721.593569,1583.549843,0,0,0.073226395,9.383755134,7.546097787,0,0,0,13.45910071,12.82048206,31.2405054,29.63292825,0.295746654,0,4.18444415,1.949913873,0.363588181,0.031800716,49.79197032,6.501656287,5.920233205,2.729561415,1.011262753,25.14747582,0.368358288,1.648337088,0.028620644,0.207222203,0,2.075619119,1.12783232,0.241193056,0.003397085,57.25107857,4.91558243,5.642558685,2.724462411,0.380473554,15.67754866,0.39745898,9.209498251,0.122295071,0.400689016,0.197030947,1.128087982,0.638889833,0,0,0,0,100,0,0,35.89679401,18.61454883,65.91334305,0,0,0,0,0,0,0,0,0,0,0,0,0,15.47210812,0,0
ALS9-0918,3.0861,6.462,0.5364,1.4733,0.126488666,0.625831575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.455106535,1.455106535,2.157075511,2.157075511,0,0,3.551532033,0.250696379,0.013927577,0,17.21448468,67.74373259,6.420612813,3.704735376,0.501392758,0.08356546,0,0.515320334,0,0,0,3.176542456,0,0,0,28.46670739,53.32926084,10.69028711,1.954795357,0,0.12217471,0,2.260232132,0,0.724233983,0.427611484,0.236768802,0.109346365,0,0,0,100,0,0,0,20.17828691,0,76.47632312,0,23.52367688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALS9-0919,4.6053,4.6053,0.6678,0.6678,30.64219234,0.294999987,0,0,0,0,0,0,0,0,0.001074849,0.064490913,0.004299394,0,0,0,2.386608853,2.386608853,5.716846131,5.716846131,0,0,5.647840532,0,0,0,32.49951143,20.69572015,32.49951143,5.745554036,0.293140512,0.449482118,0,2.130154387,0.039085402,0,0,7.142857143,0,0,0,32.74932615,11.05121294,30.59299191,2.830188679,0,2.291105121,0,13.07277628,0.269541779,0.23451241,0.134770889,0.100644909,0.148247978,0,0,100,0,0,0,0,25.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
ALR9-0904,1.3374,527.1615,0.1359,98.0847,0.105066411,0.845159403,0.06070246,88079.05668,76510.82737,0.055011605,86740.66122,75511.71047,0.005690856,0,0.021922832,1.283662407,3.096185135,0.007587808,0.01019527,0.015175615,87.36342551,73.54165838,198.0190952,170.7534667,1.502898068,0,13.32428487,9.452397415,5.808940903,1.252955688,40.06094906,9.675877317,8.109640025,2.556104723,1.670209224,5.704115342,0.006829027,0.539663841,0.029876992,1.065303763,0,10.05753191,6.199131975,4.260297478,1.091913418,47.77901141,7.815897892,10.37317747,1.608507749,1.13503941,5.940376022,0.005505446,2.153546883,0.083499261,0.236796504,0.123872531,8.769395716,6.308011341,0,0,0,0,100,0,0,28.63458047,41.45816794,58.54183206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALR9-0905,1.1079,1778.634,0.1692,354.555,14.55753905,0.568135649,0.008433438,1534.018668,1174.786448,0.006184521,1332.210607,1066.600683,0,0,0.035479461,18.66102638,1.657069414,0,0,0,5.856207809,5.641737195,13.35441718,12.86667443,0.634481293,0,3.352241102,1.251808973,0.281592503,0.063453189,3.549279953,28.32506856,17.50872861,8.321374718,3.172912471,11.62306579,10.32657646,11.17808386,0.258366814,0.483310065,0,1.602995304,0.397004696,0.075136439,0.007869019,4.876507171,18.28607691,24.09468207,5.417184922,2.024622414,4.323898972,2.336083259,35.42759233,0.562000254,1.816309595,1.419469476,0.824271098,0.256583323,0,0,100,0,0,0,0,22.48728579,7.619139182,77.51262486,0,0,0,0,0,0,0,0,0,0,0,0,0,14.86823596,0,0
ALR9-0906,3.3867,467.8479,0.6489,100.2051,15.93407322,0.566041632,0.002137447,145.0073838,139.734388,0,0,0,0,0,0.002611907,0.280945153,0,0,0,0,2.277540148,2.204282486,4.142259985,4.045913445,0.088875038,0,2.091833692,0.254505791,0.059442396,0.005193996,1.102666059,46.15519275,15.13626544,14.01301577,8.211899637,0.849122119,0.002500813,11.68514383,0.340495276,0.027842894,0,1.038270507,0.093408419,0.013472368,0,0.888278142,34.61680094,16.8557289,11.22697348,5.341344902,0.234419206,0,28.81021026,0.848759195,2.038931884,1.975947332,0.200297789,0.07122392,0,0,100,0,0,0,0,26.0640522,8.075893896,78.55495344,0,0,0,0,0,0,0,0,0,0,0,0,0,13.36915267,0,0
