"SITE_ID","VISIT_NO","OE_SCORE"
"KSRS-1288",1,0.409185953
"AZR9-0903",1,0.279837816
"AZSS-1115",1,1.263744136
"KSR9-0910",1,0.939382504
"AZLS-1055",1,1.32908917
"KSRS-1270",1,0.725868123
"KSS9-0933",1,1.350914603
"AZR9-0903",2,0.279837816
"KYRM-1006",1,0.493663102
"KSR9-0902",1,0.860671853
"KYRM-1002",1,0.538082076
"GAS9-0921",1,0.600774125
"GAS9-0915",1,0.419024904
"PARM-1005",1,0.519596583
"OHRM-1002",1,0.30537884
"PARM-1001",1,0.427861145
"NJS9-0908",1,0.347799868
"CARM-1007",1,0.225447522
"AZR9-0902",1,0.735991287
"AZR9-0901",1,0.763844541
"CARM-1003",1,0.19523375
"NJRO-1019",1,0.308842648
"TXR9-0907",1,0.788006314
"GAS9-0916",1,0.93840983
"NES9-0934",1,0.350016091
"KSRS-1261",1,0.551612043
"KSRS-1277",1,0.955162647
"OKR9-0901",1,0.521339129
"PALS-1091",1,1.213144964
"NJLS-1043",1,0.685182851
"DELS-1036",1,1.054678067
"NES9-0923",1,0.482708595
"NES9-0930",1,0.454701286
"WVRF-0001",1,1.001752253
"OKS9-0935",1,0.796008191
"PAS9-0918",1,0.913427456
"MDS9-0914",1,1.023270872
"NJR9-0901",1,0.661073246
"TXS9-0926",1,0.637870198
"NJSS-1082",1,0.506655426
"NJRO-1020",1,0.211434138
"MNSS-1171",1,1.063484175
"PAS9-0923",1,0.859302279
"NJS9-0909",1,0.397556362
"NER9-0904",1,0.101868389
"AZRM-1002",1,0.253408979
"MDRM-1003",1,0.63810124
"NVRM-1001",1,0.673146736
"OKR9-0909",1,1.171862349
"OKS9-0931",1,0.653995693
"NELS-1074",1,0.978177993
"PALS-1090",1,1.230014179
"KSRS-1340",1,0.612716113
"NDSS-1103",1,0.63031576
"TXSS-1216",1,0.94297497
"TXS9-0928",1,1.119607026
"KSR9-0906",1,1.405491771
"WIRF-0011",1,0.716812963
"PAS9-0922",1,1.074700044
"MNS9-0933",1,1.040887761
"NJR9-0902",1,0.457850542
"OKRO-1089",1,0.381715899
"VTR9-0901",1,0.596597239
"WIRF-0006",1,0.647333734
"NDLS-1055",1,1.054192268
"COS9-0934",1,0.945336196
"CAR9-0902",1,0.630797325
"TXS9-0936",1,1.121429958
"MNS9-0934",1,0.485788783
"MNSS-1175",1,0.781778393
"COR9-0903",1,0.845234819
"COS9-0926",1,0.944996151
"COS9-0929",1,0.557819146
"VTRS-1007",1,1.058963241
"MDRO-1018",1,0.994825542
"MORF-0009",1,0.654192228
"GAS9-0922",1,0.840819464
"NDR9-0907",1,1.296363268
"OKR9-0901",2,0.130334782
"MNR9-0912",1,0.674747319
"MIRF-0004",1,0.890315273
"MDRO-1015",1,0.842427894
"KYS9-0919",1,0.466622719
"KSR9-0904",1,0.869612215
"OKR9-0905",1,0.703455461
"MORF-0004",1,1.039977628
"OHS9-0919",1,0.143295943
"ALSS-1063",1,0.770644633
"MIRF-0003",1,0.9677504
"OHS9-0914",1,0.678386607
"SDSS-1190",1,0.436446295
"NHR9-0903",1,0.667831206
"CTSS-1077",1,0.400696
"OHLS-1071",1,0.112520589
"COS9-0924",1,0.998519258
"GAS9-0919",1,1.098154027
"NDSS-1106",1,1.433829823
"UTRF-0004",1,1.097050622
"OHSS-1125",1,0.886133425
"OHRO-1031",1,0.587057334
"MIRF-0002",1,1.238664776
"MORF-0005",1,0.694175208
"MIS9-0923",1,1.109431044
"MISS-1136",1,1.119381186
"TXS9-0926",2,0.637870198
"MDRO-1014",1,0.837619642
"ALS9-0918",1,0.740671585
"ALSS-1064",1,0.936441757
"MNS9-0929",1,0.970358976
"NVS9-0921",1,0.546810489
"NVR9-0920",1,0.783825144
"OHS9-0922",1,0.854716276
"WASS-1140",1,0.129028801
"COS9-0925",1,0.534358796
"MIRF-0005",1,0.907467517
"WAS9-0919",1,0.496590617
"OHR9-0907",1,0.196470684
"OHRO-1035",1,0.842873468
"COS9-0922",1,0.979916372
"OHS9-0915",1,0.478432741
"OHRM-1001",1,0.969920014
"PAR9-0910",1,0.707658689
"NDS9-0938",1,1.026261762
"KSRS-1269",1,1.128110937
"VTRF-0002",1,0.890434794
"VTRS-1004",1,0.858329829
"ARS9-0946",1,0.504109111
"ALS9-0916",1,0.17996344
"OHRO-1036",1,0.79887206
"DESS-1085",1,0.520319155
"KSRF-0004",1,0.874949507
"MNSS-1169",1,0.598696507
"COS9-0920",1,0.889184808
"TXS9-0928",2,1.221389483
"OKR9-0913",1,0.243152003
"MTS9-0934",1,0.82861703
"UTRO-1035",1,0.664436837
"NVSS-1104",1,0.593132456
"KYS9-0924",1,0.437333931
"KSRS-1336",1,1.163468796
"ARRM-1004",1,0.521906988
"NDR9-0910",1,0.990840193
"WIRF-0008",1,1.143957928
"OKS9-0939",1,0.710599704
"SDS9-0938",1,1.099764459
"ALR9-0904",1,0.793601138
"KSRF-0002",1,1.293435017
"WALS-1070",1,0.699532216
"PARM-1002",1,0.991530915
"UTSS-1107",1,0.922181665
"OHSS-1124",1,0.72245485
"MTS9-0941",1,1.092611768
"NDSS-1105",1,0.552117993
"MDR9-0905",1,1.098586084
"TXR9-0903",1,1.23243988
"WIRF-0002",1,0.895855532
"ORR9-0912",1,0.398263408
"NVS9-0926",1,1.084677547
"OHS9-0920",1,0.482036933
"OKR9-0908",1,0.366756798
"OKR9-0911",1,1.310950791
"SDSS-1191",1,0.509395093
"KYSS-1080",1,0.651590218
"VTS9-0917",1,1.032954614
"VARF-0004",1,1.272648359
"MNS9-0932",1,0.834691367
"TXS9-0940",1,0.561141932
"MDRM-1004",1,0.72392227
"LAR9-0915",1,0.64485554
"COLS-1060",1,0.772327228
"MTLS-1140",1,1.429883644
"ALS9-0919",1,0.83304246
"COS9-0928",1,0.840027961
"KSRF-0003",1,1.167417444
"COLS-1064",1,1.109790024
"MIS9-0934",1,0.835213384
"UTR9-0904",1,0.455987614
"LALS-1038",1,0.563222008
"MIRF-0001",1,1.194653665
"NHS9-0912",1,0.62879911
"MNS9-0935",1,1.236503562
"ORS9-0932",1,1.183708719
"ARRO-1021",1,0.731200325
"NVLS-1046",1,0.666299255
"INSS-1089",1,0.838106348
"MIS9-0924",1,0.353338173
"WIRF-0003",1,0.728215302
"ALRM-1003",1,1.132245154
"COR9-0901",1,0.642183233
"OHRM-1005",1,0.30563268
"WALS-1072",1,0.897159669
"ALS9-0922",1,0.802071224
"MDS9-0914",2,1.227925047
"OHSS-1123",1,0.871822107
"NES9-0928",1,0.537437808
"OKR9-0902",1,0.819328871
"WAS9-0918",1,0.941823569
"LAS9-0944",1,0.59471314
"DESS-1081",1,1.108986984
"NES9-0934",2,0.933376242
"KSR9-0904",2,0.869612215
"ORR9-0910",1,1.222980139
"NDS9-0941",1,0.717486434
"ALRF-0003",1,1.010604514
"IDRM-1001",1,0.258554134
"IDR9-0903",1,0.839129415
"IDR9-0901",1,0.475728478
"OKR9-0906",1,0.369534152
"NVLS-1048",1,1.034601389
"NVRO-1020",1,0.854863035
"NJS9-0909",2,0.56793766
"IDRO-1034",1,1.14722713
"NDS9-0943",1,0.968213556
"NJR9-0901",2,0.793287895
"IDR9-0906",1,0.801908594
"OHS9-0915",2,0.372114354
"MIS9-0924",2,0.471117564
"OHS9-0923",1,0.195209359
"KSR9-0903",1,1.155619081
"KSRS-1316",1,0.526229907
"OKS9-0932",1,0.81071008
"WIS9-0931",1,0.41607831
"WISS-1162",1,0.653994451
"MIS9-0930",1,0.9247094
"LASS-1050",1,0.742561205
"NDS9-0940",1,0.632541624
"NJS9-0908",2,0.347799868
"OKRM-1002",1,0.262867487
"AZSS-1106",1,0.354340258
"NES9-0932",1,1.071144526
"NES9-0921",1,1.304623941
"MTR9-0913",1,0.931213988
"VTS9-0910",1,1.027296723
"OHS9-0914",2,0.678386607
"MNRM-1003",1,0.843786664
"TXR9-0915",1,0.495423199
"OKRM-1008",1,0.189266378
"ARR9-0904",1,0.811565004
"CAS9-0914",1,0.230880566
"KSR9-0901",1,0.555998305
"KYS9-0919",2,0.39996233
"SDSS-1188",1,0.762440328
"WYRF-0001",1,0.731946674
"COS9-0923",1,1.010490444
"AZS9-0929",1,1.289979698
"NDLS-1059",1,1.026300965
"NJRM-1001",1,0.216215391
"NVRO-1027",1,1.033970392
"NVR9-0910",1,0.474588512
"GAS9-0924",1,0.61806069
"NES9-0927",1,0.871464802
"NYLS-1125",1,1.03314861
"COS9-0932",1,1.049221496
"MILS-1059",1,1.22961785
"SDLS-1114",1,0.843536577
"TXRM-1011",1,0.660483985
"WIS9-0923",1,0.563920581
"IDR9-0910",1,0.521306267
"IDRO-1030",1,0.745036698
"WAR9-0901",1,1.017953544
"MTS9-0923",1,1.234162104
"CTS9-0917",1,0.557359729
"DES9-0912",1,0.613031348
"RISS-1083",1,1.017183243
"VTR9-0901",2,0.681825417
"ARLS-1047",1,1.041241301
"GAS9-0917",1,0.547652452
"ARSS-1090",1,0.900285017
"ARR9-0906",1,0.628573488
"MDLS-1041",1,0.972751236
"NJSS-1081",1,0.733425815
"MTR9-0909",1,1.046768308
"MTS9-0924",1,0.840498449
"NJR9-0902",2,0.457850542
"MNRM-1012",1,0.678839557
"COSS-1099",1,0.784157345
"NHSS-1070",1,0.662615564
"MNR9-0901",1,0.933404391
"ORLS-1104",1,1.289561455
"ORRM-1001",1,1.194036832
"MDLS-1038",1,1.055553659
"WYS9-0928",1,0.80787421
"NJSS-1087",1,1.131144884
"LARO-1019",1,0.512525657
"WYRF-0004",1,1.106877124
"NYRO-1052",1,0.622983876
"NJLS-1042",1,0.470416469
"WYS9-0924",1,0.598615843
"WYLS-1088",1,1.076963224
"NYS9-0936",1,1.212598245
"IDRM-1022",1,0.512745753
"NER9-0902",1,0.763392723
"IDRM-1019",1,0.637342708
"SDR9-0911",1,1.02647246
"CAS9-0915",1,0.835237756
"CAS9-0930",1,1.166783992
"MIS9-0929",1,0.852756058
"OKRO-1088",1,0.57897482
"KSR9-0905",1,0.52588812
"CARM-1010",1,0.425010626
"NJLS-1041",1,0.561108221
"CAS9-0916",1,0.941467129
"DER9-0903",1,0.763176834
"WYS9-0931",1,0.704446481
"NYRO-1049",1,0.561218983
"LARO-1020",1,0.615030788
"KSR9-0908",1,1.2702646
"MNR9-0907",1,0.42104582
"MNRM-1010",1,0.841958701
"NDS9-0938",2,1.128887939
"SDR9-0901",1,0.995620136
"OKRM-1006",1,0.725588442
"OHS9-0916",1,0.601682245
"NVR9-0905",1,0.478287594
"CARM-1011",1,0.430792176
"ORRM-1008",1,0.303957834
"TXS9-0937",1,1.22573358
"NHRO-1033",1,0.280862769
"IDR9-0908",1,1.112854361
"MISS-1133",1,1.073275802
"WIS9-0928",1,0.967255539
"OKS9-0938",1,0.893242455
"WAS9-0920",1,0.325675774
"NERM-1003",1,0.718407214
"CAS9-0921",1,1.155696137
"KSRS-1268",1,0.749236414
"MDR9-0905",2,1.171825156
"OKLS-1181",1,0.620681433
"TXR9-0903",2,0.896319913
"NVRO-1024",1,0.513291557
"UTR9-0901",1,0.775105653
"MTR9-0920",1,0.951339303
"ORR9-0903",1,1.316174958
"SDR9-0909",1,0.967543045
"OKS9-0936",1,0.741866132
"COS9-0938",1,1.152124901
"VTS9-0909",1,1.020246503
"PARF-0004",1,1.024138365
"DERO-1001",1,1.087860921
"CTS9-0921",1,0.863688534
"NYLS-1123",1,0.416230626
"KSS9-0932",1,0.542098951
"MTS9-0937",1,1.428357698
"NCRO-1016",1,0.964523205
"NYRO-1056",1,0.883079863
"NCS9-0920",1,0
"MNR9-0908",1,0.768934552
"MNRO-1052",1,0.735507782
"NHR9-0905",1,0.815602524
"CAR9-0912",1,0.318524773
"NVRM-1006",1,0.825358183
"ORR9-0911",1,0.612370017
"NDRO-1022",1,1.017886876
"NDRM-1001",1,0.797165505
"OHLS-1069",1,0.810562863
"WAS9-0921",1,1.23450557
"COS9-0937",1,1.114852526
"KSR9-0911",1,0.597655811
"NCRM-1002",1,0.438005392
"NYSS-1241",1,0.931906082
"OHLS-1074",1,0.863919442
"OHRO-1033",1,0.877949395
"COS9-0920",2,0.49399156
"COS9-0921",1,0.766189188
"NYLS-1124",1,1.076526842
"PAS9-0919",1,1.130767889
"WIS9-0927",1,0.899217359
"WYRF-0007",1,0.961269281
"OHSS-1122",1,0.35865461
"ARLS-1045",1,1.180071523
"KSR9-0912",1,1.225150133
"IASS-1090",1,0.805098989
"ILRF-0001",1,0.485781477
"USGS-0020",1,0.957982441
"INS9-0918",1,0.69917173
"NYRO-1051",1,0.575163215
"AZRM-1003",1,0.573375935
"IARF-0003",1,0.901780823
"CAR9-0904",1,0.269101705
"IASS-1088",1,0.731867136
"MIS9-0927",1,1.066088127
"SDRM-1007",1,0.549992668
"CAS9-0929",1,0.696587897
"WIS9-0929",1,0.647018387
"WAR9-0908",1,0.784610021
"OHSS-1127",1,0.760162777
"IAS9-0924",1,0.881122723
"MTS9-0932",1,1.246988104
"ARRO-1024",1,1.06026399
"MNRM-1002",1,0.79889938
"KSRF-0006",1,0.747504775
"ILLS-1071",1,0.931249077
"USGS-0009",1,0.862751202
"MNRM-1006",1,0.42477377
"LAS9-0948",1,0.764313326
"MOS9-0932",1,0.559845449
"NYR9-0906",1,0.416333175
"WYRF-0006",1,0.951903213
"INSS-1088",1,0.32497411
"SDRO-1072",1,1.119242557
"SDS9-0941",1,0.759896199
"IARO-1013",1,0.948002017
"NDRO-1024",1,0.8700789
"ORR9-0914",1,0.951885434
"ORS9-0939",1,0.467387808
"WISS-1164",1,0.218907773
"ILRF-0003",1,0.826408167
"OHRF-0002",1,0.682615752
"MOSS-1159",1,0.663982288
"TXSS-1210",1,1.195110569
"NCS9-0921",1,1.252979776
"NCRF-0002",1,0.921365341
"MTLS-1130",1,0.856734108
"KSRS-1303",1,1.033360025
"ALSS-1065",1,0.443305589
"SDRM-1011",1,0.598945633
"CAS9-0926",1,1.071856141
"OKS9-0934",1,1.040693546
"INRF-0001",1,1.07611316
"WARM-1001",1,1.43789629
"IARF-0004",1,1.187540613
"IAR9-0905",1,0.415233927
"NJSS-1078",1,0.940165001
"ILR9-0902",1,0.480490864
"USGS-0019",1,0.7434458
"CAS9-0920",1,0.801399655
"NYSS-1249",1,0.70025409
"IDR9-0905",1,0.528130211
"VTRF-0001",1,0.837823448
"INS9-0923",1,0.619206013
"IARF-0002",1,0.6478961
"OHS9-0921",1,0.78184804
"ORS9-0937",1,1.112479812
"NVS9-0921",2,0.455675407
"NVR9-0920",2,1.007775185
"NVS9-0926",2,0.584057141
"NCR9-0903",1,0.816144395
"MTRO-1070",1,1.208391609
"ARR9-0905",1,1.22812804
"ALRF-0001",1,0.950337324
"LAS9-0944",2,0.792950854
"LAR9-0915",2,0.73697776
"MOLS-1080",1,0.868369162
"IARF-0005",1,0.812310029
"USGS-0015",1,0.783288615
"MNR9-0913",1,0.806357795
"MNR9-0901",2,0.848549447
"TXS9-0933",1,1.174070738
"INRF-0002",1,0.596217178
"MTRO-1061",1,0.557967452
"USGS-0021",1,0.642131237
"OHRF-0001",1,0.691132315
"ALS9-0916",2,0.17996344
"IDRO-1033",1,0.792840225
"IDRM-1011",1,0.484552876
"IDRO-1025",1,1.014196603
"ALS9-0923",1,0.407097751
"NYS9-0925",1,1.072986719
"NDLS-1057",1,1.049217848
"NDSS-1108",1,1.002104606
"NDSS-1111",1,0.909563203
"ILLS-1074",1,0.949732157
"MORF-0010",1,0.808001353
"ILRO-1027",1,0.678225363
"NHR9-0902",1,0.392746984
"NYS9-0937",1,1.009348358
"IAS9-0931",1,0.637488497
"IDRO-1041",1,0.936554831
"RISS-1084",1,0.767161323
"ALRO-1021",1,0.422456045
"IALS-1051",1,0.528107007
"INLS-1044",1,1.096872897
"USGS-0004",1,0.574154898
"COSS-1097",1,0.592176011
"DES9-0912",2,0.561945403
