"SITE_ID","VISIT_NO","OE_SCORE"
"FW08TX012",2,0.533027653
"FW08TX012",1,0.666284566
"FW08TX061",1,0.889681799
"FW08TX059",1,0.994855381
"FW08TX058",1,0.843245913
"FW08TX066",1,0.916091363
"FW08TX064",1,1.054596229
"FW08TX046",1,0.275161736
"FW08TX038",1,0.827057278
"FW08TX033",1,0.397791166
"FW08TX030",1,0.709957188
"FW08TX015",2,1.015859026
"FW08TX015",1,0.846549189
"FW08TX065",1,0.254577091
"FW08TX055",1,0.660834721
"FW08TX023",1,0.644922329
"FW08TX062",1,0.474233201
"FW08TX063",1,1.025125704
"FW08TX022",1,0.709957188
"FW08TX068",1,0.972950055
"FW08TX052",1,0.151239139
"FW08TX050",1,1.068065076
"FW08TX028",1,1.344000991
"FW08ND018",1,1.179610941
"FW08CA001",1,1.203050972
"FW08CA015",1,1.272759058
"FW08DE001",1,1.301932027
"FW08DE008",1,0.844646663
"FW08DE015",1,0.684809725
"FW08DE021",1,0.65825225
"FW08IN013",1,0.929032055
"FW08KS001",1,1.226910366
"FW08KS003",1,0.437888386
"FW08KS005",1,0.604007729
"FW08KS006",1,0.363642282
"FW08KS012",1,1.235424465
"FW08KS036",1,0.682913969
"FW08KS039",1,0.737226918
"FW08LA011",1,0.882820353
"FW08DE002",1,0.951394203
"FW08KS033",1,0.770485963
"FW08DE001",2,1.101634792
"FW08DE013",1,1.040575117
"FW08NV003",1,0.857227706
"FW08NV069",1,1.313208246
"FW08NV003",2,0.32146039
"FW08NV004",1,1.069138779
"FW08NV004",2,0.852156128
"FW08NV005",1,0.901170831
"FW08NV006",1,0.987212776
"FW08NV008",1,1.155621217
"FW08NV009",1,0.802974322
"FW08NV010",1,0.825402682
"FW08NV011",1,1.098031932
"FW08NV012",1,0.591579476
"FW08NV014",1,1.057726358
"FW08NV015",1,0.730360011
"FW08NV019",1,0.835034719
"FW08NV019",2,1.070955106
"FW08NV022",1,1.011054976
"FW08NV026",1,1.068055881
"FW08NV028",1,1.220100053
"FW08NV029",1,1.044736892
"FW08NV031",1,0.379478605
"FW08NV032",1,0.90569646
"FW08NV033",1,0.771788542
"FW08NV034",1,0.546443632
"FW08NV035",1,0.247972316
"FW08NV037",1,0.968370911
"FW08NV038",1,0.597552932
"FW08NV049",1,0.862332301
"FW08NV040",1,0.900497289
"FW08NV050",1,0.818251514
"FW08CA044",1,0.527522769
"FW08NV051",1,0.606566167
"FW08NV053",1,0.958729133
"FW08NV054",1,0.820019768
"FW08NV056",1,1.082058712
"FW08CA059",1,0.41480031
"FW08NV057",1,0.717353339
"FW08NV058",1,0.74563249
"FW08NV041",1,0.840216149
"FW08NV039",1,0.53238822
"FW08NV062",1,0.127707636
"FW08NV063",1,0.845378974
"FW08NV065",1,1.190901651
"FW08NV066",1,0.546447187
"FW08NV069",2,0.955060543
"FW08CA020",1,0.728474108
"FW08CA031",1,1.221594049
"FW08CA035",1,0.508684937
"FW08CA040",1,1.026278956
