"","SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE"
"1","KSRS-1288",1,16.45,0.409185953
"2","AZR9-0903",1,11.4,0.279837816
"3","AZSS-1115",1,43.67,1.263744136
"4","KSR9-0910",1,22.4,0.939382504
"5","AZLS-1055",1,34.38,1.32908917
"6","KSRS-1270",1,24.28,0.725868123
"7","KSS9-0933",1,31.53,1.350914603
"8","AZR9-0903",2,11.4,0.279837816
"9","KYRM-1006",1,27.8,0.493663102
"10","KSR9-0902",1,19.3,0.860671853
"11","KYRM-1002",1,3.87,0.538082076
"12","GAS9-0921",1,10.3,0.600774125
"13","GAS9-0915",1,8.28,0.419024904
"14","PARM-1005",1,14.83,0.519596583
"15","OHRM-1002",1,6.07,0.30537884
"16","PARM-1001",1,17.93,0.427861145
"17","NJS9-0908",1,13.15,0.347799868
"18","CARM-1007",1,9.87,0.225447522
"19","AZR9-0902",1,29.02,0.735991287
"20","AZR9-0901",1,21.37,0.763844541
"21","CARM-1003",1,5.57,0.19523375
"22","NJRO-1019",1,0,0.308842648
"23","TXR9-0907",1,37.6,0.788006314
"24","GAS9-0916",1,63.47,0.93840983
"25","NES9-0934",1,0,0.350016091
"26","KSRS-1261",1,16.97,0.551612043
"27","KSRS-1277",1,40.15,0.955162647
"28","OKR9-0901",1,24.4,0.521339129
"29","PALS-1091",1,90.87,1.213144964
"30","NJLS-1043",1,11.75,0.685182851
"31","DELS-1036",1,32.67,1.054678067
"32","NES9-0923",1,31.65,0.482708595
"33","NES9-0930",1,0,0.454701286
"34","WVRF-0001",1,62.08,1.001752253
"35","OKS9-0935",1,31.32,0.796008191
"36","PAS9-0918",1,79.53,0.913427456
"37","MDS9-0914",1,19.75,1.023270872
"38","NJR9-0901",1,49.85,0.661073246
"39","TXS9-0926",1,18.03,0.637870198
"40","NJSS-1082",1,14.67,0.506655426
"41","NJRO-1020",1,8.28,0.211434138
"42","MNSS-1171",1,28.68,1.063484175
"43","PAS9-0923",1,22.53,0.859302279
"44","NJS9-0909",1,10.92,0.397556362
"45","NER9-0904",1,24.17,0.101868389
"46","AZRM-1002",1,44.73,0.253408979
"47","MDRM-1003",1,28.18,0.63810124
"48","NVRM-1001",1,18.55,0.673146736
"49","OKR9-0909",1,20.17,1.171862349
"50","OKS9-0931",1,16.57,0.653995693
"51","NELS-1074",1,19.45,0.978177993
"52","PALS-1090",1,74.75,1.230014179
"53","KSRS-1340",1,13.3,0.612716113
"54","NDSS-1103",1,15.65,0.63031576
"55","TXSS-1216",1,28.08,0.94297497
"56","TXS9-0928",1,31.85,1.119607026
"57","KSR9-0906",1,56.73,1.405491771
"58","WIRF-0011",1,29.4,0.716812963
"59","PAS9-0922",1,50.98,1.074700044
"60","MNS9-0933",1,26.78,1.040887761
"61","NJR9-0902",1,7.4,0.457850542
"62","OKRO-1089",1,4.03,0.381715899
"63","VTR9-0901",1,11.58,0.596597239
"64","WIRF-0006",1,31.02,0.647333734
